ticker,date,raw_score,z_score,signal,quintile,event_category,event_confidence,sentiment_intensity,volume_ratio
LULU,2025-10-21,0.5812043734262352,1.7778677876620157,0.944465371145941,5,G,0.4,-0.7805523664730355,3.0
MDLZ,2025-05-06,0.36506038941338353,0.2433194438901504,0.23862864235012093,4,G,0.3,-0.5014216899871826,1.0
MDLZ,2024-02-20,0.15020599913279623,-1.2568194354311044,-0.8501848832176949,1,G,0.3,0.0,1.0
MDLZ,2024-02-21,0.15020599913279623,-1.2207361235783072,-0.8398711838548464,1,G,0.3,0.0,1.0
META,2024-08-09,0.3268438764257883,0.027691908823910823,0.02768483255658587,3,G,0.4,0.3598763810070379,0.75
META,2024-09-10,0.09,-1.5998412845692864,-0.9216446599416449,1,G,0.3,0.0,0.0
META,2025-11-03,0.2523261716439379,-0.454406088352918,-0.4255140717640452,2,G,0.4,-0.07540121773064005,0.6792452830188679
MNST,2024-05-23,0.12,-1.349722017196892,-0.8739876594245481,1,G,0.4,0.0,0.0
MRNA,2024-05-09,0.15020599913279623,-1.1115796282567105,-0.8046200554355711,1,G,0.3,0.0,1.0
MRVL,2025-06-30,0.46708357273590023,1.0808950731548164,0.7935307861308114,5,G,0.5,-0.5184340187656337,2.0
NXPI,2025-04-28,0.5559359721083909,1.6386224602267858,0.9272797483488417,5,G,0.4,-0.9036106467247009,1.0
NXPI,2025-08-18,0.48025033393619626,1.095536214323682,0.7988898849001307,5,G,0.5,0.5513509217663738,2.0
PYPL,2024-05-21,0.517525828256157,1.3154069271770745,0.8656371401511896,5,G,0.3,-0.8825852870941162,1.0
QCOM,2024-08-09,0.1418288938850136,-1.208475006454733,-0.8362214566157028,1,G,0.4,0.0,0.2857142857142857
QCOM,2025-05-22,0.20748505207592438,-0.7535070616562525,-0.6372365568886912,2,G,0.3,0.10748334664353468,1.0
